DATE,DFF
2022-04-01,0.33
2022-04-02,0.33
2022-04-03,0.33
2022-04-04,0.33
2022-04-05,0.33
2022-04-06,0.33
2022-04-07,0.33
2022-04-08,0.33
2022-04-09,0.33
2022-04-10,0.33
2022-04-11,0.33
2022-04-12,0.33
2022-04-13,0.33
2022-04-14,0.33
2022-04-15,0.33
2022-04-16,0.33
2022-04-17,0.33
2022-04-18,0.33
2022-04-19,0.33
2022-04-20,0.33
2022-04-21,0.33
2022-04-22,0.33
2022-04-23,0.33
2022-04-24,0.33
2022-04-25,0.33
2022-04-26,0.33
2022-04-27,0.33
2022-04-28,0.33
2022-04-29,0.33
2022-04-30,0.33
2022-05-01,0.33
2022-05-02,0.33
2022-05-03,0.33
2022-05-04,0.33
2022-05-05,0.83
2022-05-06,0.83
2022-05-07,0.83
2022-05-08,0.83
2022-05-09,0.83
2022-05-10,0.83
2022-05-11,0.83
2022-05-12,0.83
2022-05-13,0.83
2022-05-14,0.83
2022-05-15,0.83
2022-05-16,0.83
2022-05-17,0.83
2022-05-18,0.83
2022-05-19,0.83
2022-05-20,0.83
2022-05-21,0.83
2022-05-22,0.83
2022-05-23,0.83
2022-05-24,0.83
2022-05-25,0.83
2022-05-26,0.83
2022-05-27,0.83
2022-05-28,0.83
2022-05-29,0.83
2022-05-30,0.83
2022-05-31,0.83
2022-06-01,0.83
2022-06-02,0.83
2022-06-03,0.83
2022-06-04,0.83
2022-06-05,0.83
2022-06-06,0.83
2022-06-07,0.83
2022-06-08,0.83
2022-06-09,0.83
2022-06-10,0.83
2022-06-11,0.83
2022-06-12,0.83
2022-06-13,0.83
2022-06-14,0.83
2022-06-15,0.83
2022-06-16,1.58
2022-06-17,1.58
2022-06-18,1.58
2022-06-19,1.58
2022-06-20,1.58
2022-06-21,1.58
2022-06-22,1.58
2022-06-23,1.58
2022-06-24,1.58
2022-06-25,1.58
2022-06-26,1.58
2022-06-27,1.58
2022-06-28,1.58
2022-06-29,1.58
2022-06-30,1.58
2022-07-01,1.58
2022-07-02,1.58
2022-07-03,1.58
2022-07-04,1.58
2022-07-05,1.58
2022-07-06,1.58
2022-07-07,1.58
2022-07-08,1.58
2022-07-09,1.58
2022-07-10,1.58
2022-07-11,1.58
2022-07-12,1.58
2022-07-13,1.58
2022-07-14,1.58
2022-07-15,1.58
2022-07-16,1.58
2022-07-17,1.58
2022-07-18,1.58
2022-07-19,1.58
2022-07-20,1.58
2022-07-21,1.58
2022-07-22,1.58
2022-07-23,1.58
2022-07-24,1.58
2022-07-25,1.58
2022-07-26,1.58
2022-07-27,1.58
2022-07-28,2.33
2022-07-29,2.32
2022-07-30,2.32
2022-07-31,2.32
2022-08-01,2.33
2022-08-02,2.33
2022-08-03,2.33
2022-08-04,2.33
2022-08-05,2.33
2022-08-06,2.33
2022-08-07,2.33
2022-08-08,2.33
2022-08-09,2.33
2022-08-10,2.33
2022-08-11,2.33
2022-08-12,2.33
2022-08-13,2.33
2022-08-14,2.33
2022-08-15,2.33
2022-08-16,2.33
2022-08-17,2.33
2022-08-18,2.33
2022-08-19,2.33
2022-08-20,2.33
2022-08-21,2.33
2022-08-22,2.33
2022-08-23,2.33
2022-08-24,2.33
2022-08-25,2.33
2022-08-26,2.33
2022-08-27,2.33
2022-08-28,2.33
2022-08-29,2.33
2022-08-30,2.33
2022-08-31,2.33
2022-09-01,2.33
2022-09-02,2.33
2022-09-03,2.33
2022-09-04,2.33
2022-09-05,2.33
2022-09-06,2.33
2022-09-07,2.33
2022-09-08,2.33
2022-09-09,2.33
2022-09-10,2.33
2022-09-11,2.33
2022-09-12,2.33
2022-09-13,2.33
2022-09-14,2.33
2022-09-15,2.33
2022-09-16,2.33
2022-09-17,2.33
2022-09-18,2.33
2022-09-19,2.33
2022-09-20,2.33
2022-09-21,2.33
2022-09-22,3.08
2022-09-23,3.08
2022-09-24,3.08
2022-09-25,3.08
2022-09-26,3.08
2022-09-27,3.08
2022-09-28,3.08
2022-09-29,3.08
2022-09-30,3.08
2022-10-01,3.08
2022-10-02,3.08
2022-10-03,3.08
2022-10-04,3.08
2022-10-05,3.08
2022-10-06,3.08
2022-10-07,3.08
2022-10-08,3.08
2022-10-09,3.08
2022-10-10,3.08
2022-10-11,3.08
2022-10-12,3.08
2022-10-13,3.08
2022-10-14,3.08
2022-10-15,3.08
2022-10-16,3.08
2022-10-17,3.08
2022-10-18,3.08
2022-10-19,3.08
2022-10-20,3.08
2022-10-21,3.08
2022-10-22,3.08
2022-10-23,3.08
2022-10-24,3.08
2022-10-25,3.08
2022-10-26,3.08
2022-10-27,3.08
2022-10-28,3.08
2022-10-29,3.08
2022-10-30,3.08
2022-10-31,3.08
2022-11-01,3.08
2022-11-02,3.08
2022-11-03,3.83
2022-11-04,3.83
2022-11-05,3.83
2022-11-06,3.83
2022-11-07,3.83
2022-11-08,3.83
2022-11-09,3.83
2022-11-10,3.83
2022-11-11,3.83
2022-11-12,3.83
2022-11-13,3.83
2022-11-14,3.83
2022-11-15,3.83
2022-11-16,3.83
2022-11-17,3.83
2022-11-18,3.83
2022-11-19,3.83
2022-11-20,3.83
2022-11-21,3.83
2022-11-22,3.83
2022-11-23,3.83
2022-11-24,3.83
2022-11-25,3.83
2022-11-26,3.83
2022-11-27,3.83
2022-11-28,3.83
2022-11-29,3.83
2022-11-30,3.83
2022-12-01,3.83
2022-12-02,3.83
2022-12-03,3.83
2022-12-04,3.83
2022-12-05,3.83
2022-12-06,3.83
2022-12-07,3.83
2022-12-08,3.83
2022-12-09,3.83
2022-12-10,3.83
2022-12-11,3.83
2022-12-12,3.83
2022-12-13,3.83
2022-12-14,3.83
2022-12-15,4.33
2022-12-16,4.33
2022-12-17,4.33
2022-12-18,4.33
2022-12-19,4.33
2022-12-20,4.33
2022-12-21,4.33
2022-12-22,4.33
2022-12-23,4.33
2022-12-24,4.33
2022-12-25,4.33
2022-12-26,4.33
2022-12-27,4.33
2022-12-28,4.33
2022-12-29,4.33
2022-12-30,4.33
2022-12-31,4.33
2023-01-01,4.33
2023-01-02,4.33
2023-01-03,4.33
2023-01-04,4.33
2023-01-05,4.33
2023-01-06,4.33
2023-01-07,4.33
2023-01-08,4.33
2023-01-09,4.33
2023-01-10,4.33
2023-01-11,4.33
2023-01-12,4.33
2023-01-13,4.33
2023-01-14,4.33
2023-01-15,4.33
2023-01-16,4.33
2023-01-17,4.33
2023-01-18,4.33
2023-01-19,4.33
2023-01-20,4.33
2023-01-21,4.33
2023-01-22,4.33
2023-01-23,4.33
2023-01-24,4.33
2023-01-25,4.33
2023-01-26,4.33
2023-01-27,4.33
2023-01-28,4.33
2023-01-29,4.33
2023-01-30,4.33
2023-01-31,4.33
2023-02-01,4.33
2023-02-02,4.58
2023-02-03,4.58
2023-02-04,4.58
2023-02-05,4.58
2023-02-06,4.58
2023-02-07,4.58
2023-02-08,4.58
2023-02-09,4.57
2023-02-10,4.58
2023-02-11,4.58
2023-02-12,4.58
2023-02-13,4.58
2023-02-14,4.58
2023-02-15,4.58
2023-02-16,4.58
2023-02-17,4.58
2023-02-18,4.58
2023-02-19,4.58
2023-02-20,4.58
2023-02-21,4.58
2023-02-22,4.58
2023-02-23,4.58
2023-02-24,4.58
2023-02-25,4.58
2023-02-26,4.58
2023-02-27,4.57
2023-02-28,4.57
2023-03-01,4.58
2023-03-02,4.57
2023-03-03,4.57
2023-03-04,4.57
2023-03-05,4.57
2023-03-06,4.57
2023-03-07,4.57
2023-03-08,4.57
2023-03-09,4.57
2023-03-10,4.57
2023-03-11,4.57
2023-03-12,4.57
2023-03-13,4.58
2023-03-14,4.58
2023-03-15,4.58
2023-03-16,4.58
2023-03-17,4.58
2023-03-18,4.58
2023-03-19,4.58
2023-03-20,4.58
2023-03-21,4.58
2023-03-22,4.58
2023-03-23,4.83
2023-03-24,4.83
2023-03-25,4.83
2023-03-26,4.83
2023-03-27,4.83
2023-03-28,4.83
2023-03-29,4.83
2023-03-30,4.83
2023-03-31,4.83
